Karate;Thursday 21:30 - 23:00;Gebouw De Nayer (GDN) Judozaal
;;
Kayak;Wednesday 20:30 -�22:00;Swimming pool KU Leuven
;;
Korfball;Monday 21:00 - 22:00;Topsporthal (TSH) Unit 1
Korfball;Monday 22:00 - 23:00;Topsporthal (TSH) Unit 1
Korfball;Monday 22:00�- 23:00;Topsporthal (TSH) Unit 1
;;
Kung Fu;Tuesday 17:30 - 19:30;Gebouw De Nayer (GDN) Judozaal
Kung Fu;Thursday 18:00 - 20:00;Gebouw De Nayer (GDN) Judozaal
;;
Latin Solo Dance;Monday�21:00 - 22:00;Gymnasium (GYMN) Grote zaal
Latin Solo Dance;Monday 22:00 - 23:00;Gymnasium (GYMN) Grote zaal
;;
Lyrical Jazz;Monday 21:00 - 22:00;Gebouw De Nayer Spiegelzaal 2
Lyrical Jazz;Monday 22:00 - 23:00;Gebouw De Nayer Spiegelzaal 2
;;
Modern dance;Tuesday 18:00 - 19:00;Gebouw De Nayer Spiegelzaal 2
Modern dance;Tuesday 19:00 - 20:00;Gebouw De Nayer Spiegelzaal 2
Modern dance;Tuesday 20:00 - 21:15;Gebouw De Nayer Spiegelzaal 2
Modern dance;Tuesday�21:15�- 23:00;Gebouw De Nayer Spiegelzaal 2
;;
Orienteering;Monday 19:00 - 20:00;Gebouw De Nayer
Orienteering;Tuesday�19:00 - 20:30;Gebouw De Nayer
;;
Padel;Tuesday 18:00 - 19:30;University Sports Centre - Padel courts
Padel;Tuesday 19:30 - 21:00;University Sports Centre - Padel courts
;;
Parasports;Badminton (wheelchair), Thursday 19:30 - 21:00;Gebouw De Nayer - Grote Zaal
Parasports;basketball (wheelchair), Thursday 19:30 - 21:00;Gebouw De Nayer - Grote Zaal
Parasports;Tuesday 16:00 - 18:00, conditiontraining (wheelchair);Gebouw De Nayer - Grote Zaal
Parasports;Thursday 17:00 - 18:00, g-badminton;Gymnasium
Parasports;Wednesday 15:00 - 16:00, g-gymnastics;Gymnasium
Parasports;Thursday 19:30 - 21:00, g-football;klein voetbalveld - atletiekpiste
Parasports;Monday 13:00 - 16:00, swimming;Universitair Sportcentrum - zwembad
Parasports;Thursday 16:00 - 18:00, swimming;Universitair Sportcentrum - zwembad
;;
Parkour;Tuesday 18:30 - 20:00;Gymnasium (GYMN) Grote zaal
;;
Partyrobics;Monday 18:00 - 19:00;Gymnasium (GYMN) Grote zaal
Partyrobics;Monday 20:00 - 21:00;Gymnasium (GYMN) Grote zaal
Partyrobics;Wednesday 18:00�- 19:00;Gymnasium (GYMN) Grote zaal
;;
Pilates;Tuesday�21:00 - 22:00;Gebouw De Nayer (GDN) Spiegelzaal 1
Pilates;Tuesday 22:00 - 23:00;Gebouw De Nayer (GDN) Spiegelzaal 1
Pilates;Thursday�20:00�- 21:00;Gebouw De Nayer (GDN) Spiegelzaal 1
;;
Rock climbing;http://luak.be/;http://luak.be/
;;
Rope skipping;Thursday�18:00 - 19:00;Gymnasium (GYMN) Grote zaal
;;
Roundnet;Wednesday 18:00 - 20:00;Throwing fields (W) Beach- & Fitnesshal beach field 2
;;
Rugby;Monday 20:00 - 22:00;Rugby field (R)
Rugby;Wednesday 20:00 - 22:00;Rugby field (R)
Rugby;Thursday 20:00 - 22:00;Rugby field (R)
;;
Salsa;Wednesday 21:00 - 22:00;Sporthal UCLL - Unit 5
;;
Scuba diving;Monday 21:00 - 22:30;Poseidon
Scuba diving;Thursday�21:00 - 22:30;Poseidon
;;
Self defence;Tuesday�21:30 - 23:00;Gebouw De Nayer (GDN) Judozaal
;;
Showdance;Monday 20:00 - 21:00;Gebouw De Nayer - Spiegelzaal 2
;;
Slowpitch;Level1, Sunday 12:00 - 14:00;Gebouw De Nayer - Grote Zaal
Slowpitch;Level 2, Sunday 14:00 - 16:00;Gebouw De Nayer - Grote Zaal
;;
Snowboarding;Monday�-�departure time is determined weekly;
;;
Social dancing;Tuesday 21:00 - 22:00;Gymnasium (GYMN) Grote zaal
Social dancing;Tuesday 22:00 - 23:00;Gymnasium (GYMN) Grote zaal
;;
Spelunking;Wednesday 20:00 - 22:00;SPEKUL Leuven
;;
Sports degustation;Monday 18:00 - 19:00;University Sports Centre KU Leuven
;;
Step BBB;Monday 21:00 - 22:00;Gebouw De Nayer (GDN) Spiegelzaal 1
Step BBB;Monday 22:00 - 23:00;Gebouw De Nayer (GDN) Spiegelzaal 1
;;
Swimming;Tuesday 19:30 - 21:30;Domein UCLL/HHH - zwembad
;;
Table tennis;Monday�19:00 - 20:00;Gebouw De Nayer (GDN) Grote zaal (A)
Table tennis;Monday 20:00 - 21:00;Gebouw De Nayer (GDN) Grote zaal (A)
Table tennis;Monday 21:00�- 23:00;Gebouw De Nayer (GDN) Grote zaal (A)
;;
Taekwondo;Monday 21:00 - 23:00;Gebouw De Nayer (GDN) Judozaal
Taekwondo;Wednesday 19:00 - 21:00;Gebouw De Nayer (GDN) Judozaal
;;
Tai Chi;Thursday�20:00 - 21:30;Gebouw De Nayer (GDN) Judozaal
;;
Tennis;Every Friday from 07/10 - 16/12;Gebouw de Nayer (GDN) Grote zaal (A+B+C)
Tennis;Every Friday from 17/02 - 21/04;Gebouw de Nayer (GDN) Grote zaal (A+B+C)
Tennis;Every Tuesday from 25/04 - 13/06;Tennis artificial gravel (T1-3)
Tennis;Every Friday from 28/04 - 16/06;Tennis artificial gravel (T1-3)
Tennis;Every Tuesday 21:00 - 23:00;Gebouw De Nayer (GDN) Grote zaal (A+B+C)
;;
Trampoline;Wednesday 21:30 - 23:00;Gymnasium (GYMN) Grote zaal
;;
Triathlon;Monday 21:00 - 22:30;Swimming pool
Triathlon;Tuesday 18:00 - 20:00;Swimming pool
Triathlon;Thursday 18:00 - 20:00;Swimming pool
;;
Ultimate Frisbee;Thursday�19:00 - 21:00;Artificial grass field 2 (KG2)
Ultimate Frisbee;Thursday 19:00�- 21:00;Artificial grass field 2 (KG2)
;;
Volleyball;Monday 21:00 - 23:00;Topsporthal (TSH) Units 3 & 4
Volleyball;Wednesday 19:00 - 21:00;Topsporthal (TSH) Units 1,2 & 3
;;
Waterpolo;Wednesday 18:00 - 19:00;Swimming pool (Z)
Waterpolo;Wednesday 19:00 - 20:30;Swimming pool (Z)
Waterpolo;Wednesday�19:00 - 20:30;Swimming pool (Z)
;;
X-Fit;Wednesday�21:00 - 22:30;Indoor Atletiekhal (IAH)
;;
Yoga;Monday 18:00 - 19:00;Gebouw De Nayer (GDN) Spiegelzaal 1
Yoga;Tuesday 20:00 - 21:00;Gebouw De Nayer (GDN) Spiegelzaal 1
;;
Zumba;Tuesday�19:00 - 20:00;Topsporthal (TSH) Unit 3 & 4
Zumba;Tuesday 20:00 - 21:00;Topsporthal (TSH) Unit 3 & 4
Zumba;Thursday 19:00 - 20:00;Topsporthal (TSH) Unit 3 & 4
Zumba;Thursday 20:00 - 21:00;Topsporthal (TSH) Unit 3 & 4
